Feature,Importance
Return_Lag1,0.08182549402883292
Daily_Return,0.08158127187494368
Return_Lag2,0.0738771995616148
RSI_14,0.0728520957363679
Price_VS_SMA20,0.0703123136287584
Return_Lag3,0.06927274968701114
Volatility_5,0.06285450137041595
Price_VS_SMA5,0.06247794287857072
Momentum_5,0.062356189551396546
Volume,0.05935152545390681
SMA_20,0.03756834927087201
Close_Lag1,0.036633994697341396
SMA_10,0.03659313468912938
SMA_5,0.03329894821067652
Low,0.032663931964167725
High,0.03230807844560588
Close,0.032267931532286805
Close_Lag2,0.03142773915479384
Open,0.030476608263307736
